Elegoo Arduino Clones,30
Microsoft Hololens,1
Arduino Nanos,10
RPi2,20
Pi Zero,10
Wifi Adaptors,20
ESP 8266,10
Battery Packs,10
Ultrasonic Sensors,15
Electret Microphones,15
Temperature Sensor,10
Capacitive Touch Sensor,5
Vibration motors ,25
Servos ,25
DC motors ,25
Conductive Thread ,2
Prototyping Plastic (32oz),1
Leap Motions,10
Myo Armbands,3
Magnetometer,5
Accelerometer,20
Red Wire (26 Gage),2
Black Wire (26 Gage),2
Yellow Wire (26 Gage),2
Arduino Serial Cables,50
Micro USB ,70
SD Cards,51
RPi Wall Adapters,20
Google Cardboards,500
Opamps,9
Transistors,85
Tilt sensor,12
Force-sensitive resistor  (interlink 30-81 794),4
Internet Buttons,10
Shift register IC,8
DPDT Switches,30
Photo resistors,93
50K Ω Potentiometers,20
Spark Core,11
SPST Buttons,37
Electric microphones,60
5K Ω Potentiometers,30
10K Ω Potentiometers,15
Temp Sensors (TMP 36),3
Thermistors,12
Hook-up wire kit (25 ft. each),6
Facebook Light-up Pen,1
Screwdriver,1
Protoboard,34
Dual Male Headers 40x2,8
Single Male Headers 40x1,6
Female Headers 8x1,33
Piezo Buzzers (large),19
Piezo Buzzers (small),5
Vibration Motors (non disc),3
Micro SD to SD adapters,3
Vibration Motors (disc),4
Yellow LEDs (5mm),30
Spark Cores,3
Micro USB cables,3
Green LEDSs (3 mm),31
Red LEDs (3 mm),35
White LEDs (3 mm),10
IN 4004 Diodes,87
RGB LEDs ,5
Pink LEDs (3mm),10
IN 5404 Diodes,10
Zener Diodes,60
TSOP 4840 IR Receivers,10
Male to Female Jumpers (misc),69
Male to Male Jumpers (misc),273
Male to Female Jumper Wires,65
Wire Strippers,4
Photon/Internet Button,1
AA Batteries,58
15 GR Golden Solder,8
Electrical Tape,1
Red Wire 24 Gauge,1
Black Wire 24 Gauge,1
Blue Wire 24 Gauge,1
Usb to micro usb,8
Labels,128
Green LEDs (5mm),70
Yellow LEDs (5mm),18
Red LEDs (5mm),56
White LEDs (5mm),36
RGB LED,1
Orange LEDs (5mm),30
2 Color LED?,1
Green LEDs (3mm),11
Yellow LEDs (3mm),12
Red LEDs (3mm),5
White LEDs (3mm),3
Breadboard,57
Spark,5
Photon,2
Male to Male Yellow Jumper,16
1 Ω Resistor,25
1K Ω Resistor,25
1.5 Ω Resistor,25
1.5M Ω Resistor,25
1.5K Ω Resistor,25
10 Ω Resistor,25
12 Ω Resistor,25
100 Ω Resistor,25
100K Ω Resistor,50
10K Ω Resistor,120
120 Ω Resistor,25
150 Ω Resistor,50
15K Ω Resistor,25
150K Ω Resistor,25
18 Ω Resistor,25
1M Ω Resistor,25
2 Ω Resistor,25
20K Ω Resistor,50
2.2K Ω Resistor ,150
2.4 Ω Resistor,25
2.4K Ω Resistor,25
200 Ω Resistor,50
200K Ω Resistor,25
220 Ω Resistor,50
220K Ω Resistor,50
240 Ω Resistor,25
270K Ω Resistor,50
22K Ω Resistor,25
22 Ω Resistor,25
24 Ω Resistor,25
2K Ω Resistor,25
2M Ω Resistor,25
27K Ω Resistor,25
3 Ω Resistor ,25
3K Ω Resistor,25
30 Ω Resistor,25
3.3K Ω Resistor,25
36 Ω Resistor,25
3.6 Ω Resistor,25
360K Ω Resistor,25
300K Ω Resistor,50
330 Ω Resistor,85
33K Ω Resistor ,25
360 Ω Resistor,25
3.9K Ω Resistor,25
39K Ω Resistor,25
4.3 Ω Resistor,25
43 Ω Resistor,25
4.7K Ω Resistor,100
4.7M Ω Resistor,25
470 Ω Resistor,25
430 Ω Resistor,25
430K Ω Resistor,25
47 Ω Resistor,50
470K Ω Resistor,25
47K Ω Resistor,25
5.1 Ω Resistor,25
5.1K Ω Resistor,25
510 Ω Resistor,50
51K Ω Resistor ,130
56 Ω Resistor,25
56K Ω Resistor,25
560K Ω Resistor,25
6.2 Ω Resistor,25
6.8 Ω Resistor,25
68 Ω Resistor,25
6.8K Ω Resistor,50
620 Ω Resistor,25
680 Ω Resistor ,25
680K Ω Resistor,50
68K Ω Resistor,25
7.5K Ω Resistor,25
75K Ω Resistor,25
750K Ω Resistor,25
8.2 Ω Resistor,25
82 Ω Resistor,25
820 Ω Resistor,25
9.1K Ω Resistor,25
91K Ω Resistor,25
910K Ω Resistor,25
Micro USB - USB C (M-M),10
Sewing Machine,1
